# File Name: ANAVIGATION.txt
# File Size: 41172       
# File Date: 12/28/2025 12:51:34
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	STATUS	MISSING
Holy-Bible---Abureni---Abureni-Bible		
Holy-Bible---Ahirani---Ahirani-Bible		
Holy-Bible---Ajiya---Ajiya-Bible		
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible		
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Amo---Amo-Bible		
Holy-Bible---Apal---Apali-Bible		
Holy-Bible---Apal---Apali-Bible	VERSMISS	001-GEN-044-031
Holy-Bible---Apal---Apali-Bible	VERSMISS	041-MAR-003-029
Holy-Bible---Apal---Apali-Bible	VERSMISS	041-MAR-010-030
Holy-Bible---Apal---Apali-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Apal---Apali-Bible	VERSMISS	044-ACT-015-018
Holy-Bible---Apal---Apali-Bible	VERSMISS	046-1CO-002-008
Holy-Bible---Apal---Apali-Bible	VERSMISS	058-HEB-006-002
Holy-Bible---Apal---Apali-Bible	VERSMISS	058-HEB-006-005
Holy-Bible---Apal---Apali-Bible	VERSMISS	058-HEB-007-021
Holy-Bible---Apal---Apali-Bible	VERSMISS	066-REV-010-006
Holy-Bible---Apal---Apali-Bible	VERSMISS	066-REV-020-003
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible		
Holy-Bible---Arabic---New-Arabic-Bible		
Holy-Bible---Aramaic---Syriac-Peshitta		
Holy-Bible---Arapaho---Arapaho-Luke		
Holy-Bible---Armenian---Armenian-Bible-Eastern		
Holy-Bible---Armenian---Armenian-Bible-Eastern	VERSMISS	042-LUK-001-055
Holy-Bible---Armenian---Armenian-Bible-Eastern	VERSMISS	042-LUK-001-070
Holy-Bible---Armenian---Armenian-Bible-Western		
Holy-Bible---Aruamu---Aruamu-Bible		
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	001-GEN-044-031
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	018-JOB-026-006
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	044-ACT-002-027
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	045-ROM-016-026
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	048-GAL-001-004
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	048-GAL-001-005
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	048-GAL-006-008
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	058-HEB-006-002
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	058-HEB-006-005
Holy-Bible---Aruamu---Aruamu-Bible	VERSMISS	060-1PE-001-025
Holy-Bible---Arumanisht---Aromanian-Bible		
Holy-Bible---Assamese---Assamese-Bible		
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible		
Holy-Bible---Azerbaijani---Azerbaijani-Bible		
Holy-Bible---Azerbaijani---Azerbaijani-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Azerbaijani---Azerbaijani-Bible	VERSMISS	044-ACT-015-018
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible		
Holy-Bible---Baiso---Basio-Bible		
Holy-Bible---Baiso---Basio-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Baiso---Basio-Bible	VERSMISS	058-HEB-007-021
Holy-Bible---Bangwinji---Bangwinji-Bible		
Holy-Bible---Bareli-Palya---Palya-Bareli-Bible		
Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible		
Holy-Bible---Basque---Basque-NT		
Holy-Bible---Beami---Bedamuni-Bible		
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	001-GEN-044-031
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	018-JOB-007-009
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	045-ROM-016-026
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	058-HEB-006-002
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	058-HEB-013-021
Holy-Bible---Beaver---Beaver-Mark		
Holy-Bible---Bekwel---Bekwel-Bible		
Holy-Bible---Bengali---Bengali-Bible		
Holy-Bible---Bengali---Contemporary		
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible		
Holy-Bible---Bhattiyali---Bhattiyali-Bible		
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	049-EPH-006-012
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	058-HEB-009-026
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	058-HEB-013-021
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	065-JUD-001-025
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-001-006
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-004-010
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-015-007
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-020-003
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-020-013
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-020-015
Holy-Bible---Bhilali---Bhilali-Bible		
Holy-Bible---Blackfoot---Matthew		
Holy-Bible---Bodo-Parja---BOPO-Bible		
Holy-Bible---Boga---Boga-Bible		
Holy-Bible---Bondei---Bondei-Bible		
Holy-Bible---Borna---Borna-Latin-Bible		
Holy-Bible---Borna---Borna-Latin-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Breton---Breton-Gospels		
Holy-Bible---Bu---Bauchi-Bu-Bible		
Holy-Bible---Bu---Bu-Bible		
Holy-Bible---Bugun---Bugun-Bible		
Holy-Bible---Bugun---Bugun-Bible	VERSMISS	058-HEB-013-021
Holy-Bible---Bulgarian---Bulgarian-Bible		
Holy-Bible---Bwile---Bwile-Bible		
Holy-Bible---Calo---Calo-Bible		
Holy-Bible---Cebuano---Cebuano-Bible		
Holy-Bible---Cebuano---Cebuano-Open-Bible		
Holy-Bible---Cebuano---Cebuano-Open-Bible	VERSMISS	019-PSA-018-005
Holy-Bible---Cebuano---Cebuano-Open-Bible	VERSMISS	020-PRO-023-014
Holy-Bible---Cebuano---Cebuano-Open-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Cebuano---Cebuano-Open-Bible	VERSMISS	058-HEB-009-012
Holy-Bible---Cebuano---Cebuano-Open-Bible	VERSMISS	066-REV-020-015
Holy-Bible---Cebuano---Cebuano-Philippine		
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms		
Holy-Bible---Cherokee---Cherokee-New-Testament		
Holy-Bible---Chhattisgarhi---Chhattisgarhi-Bible		
Holy-Bible---Chichewa---Chichewa-Bible		
Holy-Bible---Chin-Daai---Daai-Chin-Bible		
Holy-Bible---Chin-Daai---Daai-Chin-Bible	VERSMISS	051-COL-001-026
Holy-Bible---Chin-Daai---Daai-Chin-Bible	VERSMISS	058-HEB-013-021
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible		
Holy-Bible---Chin-Matu---Matupi-Chin-2019		
Holy-Bible---Chin-Matu---Matupi-Chin-Bible		
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible		
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible		
Holy-Bible---Chin-Thado---Chongthu-Bible		
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible		
Holy-Bible---Chinese---Chinese-Easy-to-Read		
Holy-Bible---Chinese---Chinese-Sigao-Bible		
Holy-Bible---Chinese---Chinese-Union-Version-Simplified		
Holy-Bible---Chinese---Chinese-Union-Version-Traditional		
Holy-Bible---Chinese---Mandarin-Bible-Simplified		
Holy-Bible---Chinese---Mandarin-Bible-Simplified	VERSMISS	065-JUD-001-025
Holy-Bible---Chinese---Mandarin-Bible-Traditional		
Holy-Bible---Chinese---Mandarin-Bible-Traditional	VERSMISS	065-JUD-001-025
Holy-Bible---Chiyawo---Yao		
Holy-Bible---Cishingini---Cishingini-Bible		
Holy-Bible---Coptic---Coptic-Boharic-NT		
Holy-Bible---Coptic---Coptic-NT		
Holy-Bible---Coptic---Sahidic-Bible		
Holy-Bible---Coptic---Sahidic-Bible	VERSMISS	065-JUD-001-006
Holy-Bible---Coptic---Sahidic-Bible	VERSMISS	065-JUD-001-007
Holy-Bible---Coptic---Sahidic-Bible	VERSMISS	065-JUD-001-013
Holy-Bible---Coptic---Sahidic-Bible	VERSMISS	065-JUD-001-021
Holy-Bible---Coptic---Sahidic-Bible	VERSMISS	065-JUD-001-025
Holy-Bible---Coptic---Sahidic-Coptic-Horner		
Holy-Bible---Croatian---Croatian-Bible		
Holy-Bible---Croatian---Croatian-Open-Bible		
Holy-Bible---Cung---Chung-Bible		
Holy-Bible---Cung---Chung-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Czech---Czech-Bible-Kralicka		
Holy-Bible---Czech---Kralicka		
Holy-Bible---Czech---Living-Bible		
Holy-Bible---Czech---Living-Bible	VERSMISS	040-MAT-005-030
Holy-Bible---Czech---Living-Bible	VERSMISS	040-MAT-012-032
Holy-Bible---Czech---Living-Bible	VERSMISS	045-ROM-001-025
Holy-Bible---Danish---Danish-1871-1907		
Holy-Bible---Danish---Danish-1931-1907		
Holy-Bible---Danish---Danish-Bible		
Holy-Bible---Dawro---Dawuro-Bible		
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	001-GEN-044-031
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	043-JOH-003-015
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	044-ACT-015-018
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	049-EPH-003-021
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	056-TIT-003-007
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	058-HEB-006-002
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	058-HEB-006-005
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	063-2JO-001-002
Holy-Bible---Dawro---Dawuro-Bible	VERSMISS	065-JUD-001-025
Holy-Bible---Desiya---Desiya-Bible		
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible		
Holy-Bible---Dholuo---Dholuo-Bible		
