#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	MAP	FLAG
# File Accuracy: Contact publisher with corrections to file format or content
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Date: 02/03/2026 10:02:48
# File Generator: ABCMS (alpha)
# File Location: https://resources.AionianBible.org
# File Name: BOOKSCHAPTERS.txt
# File Purpose: Supporting resource for the Aionian Bible project
# File Size: 3955797     
Holy-Bible---Abureni---Abureni-Bible	041	MAR	009	044	MISSING	MID
Holy-Bible---Abureni---Abureni-Bible	041	MAR	009	046	MISSING	MID
Holy-Bible---Ahirani---Ahirani-Bible	047	2CO	001	014	MISSING	MID
Holy-Bible---Ajiya---Ajiya-Bible	042	LUK	023	051	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	040	MAT	002	010	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	040	MAT	014	004	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	040	MAT	020	012	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	040	MAT	022	017	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	001	024	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	001	044	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	002	007	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	002	026	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	003	008	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	003	015	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	005	028	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	006	018	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	041	MAR	014	058	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	001	055	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	002	005	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	002	023	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	002	035	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	004	002	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	011	006	MISSING	MID
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	011	054	MISSING	END*
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	020	043	MISSING	MID
