# File Name: CHECKDATA.txt
# File Size: 10613692    
# File Date: 09/19/2026 19:13:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	CHECKDATA	VREF	INDEX	BOOK	CHAPTER	VERSE	TEXT
Holy-Bible---Abureni---Abureni-Bible	Aion txt != Sour	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Obhel bho̠ A̠zizo̠s a̠b̠etina̠ d̠a̠ omugh bho̠, ma̠ ame̠ghe̠le̠ d̠a̠ o̠pu̠r a̠d̠a̠ma̠ d̠a̠ esi a̠d̠a̠ma̠ bho̠, bha̠ i̠na a̠d̠ia̠ a̠mutuma̠ ma̠ A̠meri wa̠ Amagdala bho̠, ani̠ wa̠ i̠na a̠ze ma̠ od̠ua̠l i̠karabh aru̠mu̠gh asi̠ghe̠ d̠a̠ ozu bho̠.
Holy-Bible---Abureni---Abureni-Bible	Aion txt != Sou2	041-MAR-016-009	041	MAR	016	009	Obhel bho̠ A̠zizo̠s a̠b̠etina̠ d̠a̠ omugh bho̠, ma̠ ame̠ghe̠le̠ d̠a̠ o̠pu̠r a̠d̠a̠ma̠ d̠a̠ esi a̠d̠a̠ma̠ bho̠, bha̠ i̠na a̠d̠ia̠ a̠mutuma̠ ma̠ A̠meri wa̠ Amagdala bho̠, ani̠ wa̠ i̠na a̠ze ma̠ od̠ua̠l i̠karabh aru̠mu̠gh asi̠ghe̠ d̠a̠ ozu bho̠.
Holy-Bible---Abureni---Abureni-Bible	Sour txt != Stan	041-MAR-016-009	041	MAR	016	009	Obhel bho̠ A̠zizo̠s a̠b̠etina̠ d̠a̠ omugh bho̠, ma̠ ame̠ghe̠le̠ d̠a̠ o̠pu̠r a̠d̠a̠ma̠ d̠a̠ esi a̠d̠a̠ma̠ bho̠, bha̠ i̠na a̠d̠ia̠ a̠mutuma̠ ma̠ A̠meri wa̠ Amagdala bho̠, ani̠ wa̠ i̠na a̠ze ma̠ od̠ua̠l i̠karabh aru̠mu̠gh asi̠ghe̠ d̠a̠ ozu bho̠.
Holy-Bible---Abureni---Abureni-Bible	Sour txt != Sta2	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Obhel bho̠ A̠zizo̠s a̠b̠etina̠ d̠a̠ omugh bho̠, ma̠ ame̠ghe̠le̠ d̠a̠ o̠pu̠r a̠d̠a̠ma̠ d̠a̠ esi a̠d̠a̠ma̠ bho̠, bha̠ i̠na a̠d̠ia̠ a̠mutuma̠ ma̠ A̠meri wa̠ Amagdala bho̠, ani̠ wa̠ i̠na a̠ze ma̠ od̠ua̠l i̠karabh aru̠mu̠gh asi̠ghe̠ d̠a̠ ozu bho̠.
Holy-Bible---Abureni---Abureni-Bible	Sour txt != Aion	041-MAR-016-009	041	MAR	016	009	Obhel bho̠ A̠zizo̠s a̠b̠etina̠ d̠a̠ omugh bho̠, ma̠ ame̠ghe̠le̠ d̠a̠ o̠pu̠r a̠d̠a̠ma̠ d̠a̠ esi a̠d̠a̠ma̠ bho̠, bha̠ i̠na a̠d̠ia̠ a̠mutuma̠ ma̠ A̠meri wa̠ Amagdala bho̠, ani̠ wa̠ i̠na a̠ze ma̠ od̠ua̠l i̠karabh aru̠mu̠gh asi̠ghe̠ d̠a̠ ozu bho̠.
Holy-Bible---Abureni---Abureni-Bible	Sour txt != Aio2	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) Obhel bho̠ A̠zizo̠s a̠b̠etina̠ d̠a̠ omugh bho̠, ma̠ ame̠ghe̠le̠ d̠a̠ o̠pu̠r a̠d̠a̠ma̠ d̠a̠ esi a̠d̠a̠ma̠ bho̠, bha̠ i̠na a̠d̠ia̠ a̠mutuma̠ ma̠ A̠meri wa̠ Amagdala bho̠, ani̠ wa̠ i̠na a̠ze ma̠ od̠ua̠l i̠karabh aru̠mu̠gh asi̠ghe̠ d̠a̠ ozu bho̠.
Holy-Bible---Abureni---Abureni-Bible	Data checks: aionian=3892 standard=3892 source=3892						
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sour	041-MAR-016-009	041	MAR	016	009	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) रविवारना पहाटले येशु जिवत व्हवानंतर, ज्या मरीया मग्दालीया मातीन त्यानी सात दुष्ट आत्मा काढेल व्हतात तिले तो पहिले दखायना.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Sou2	041-MAR-016-009	041	MAR	016	009	रविवारना पहाटले येशु जिवत व्हवानंतर, ज्या मरीया मग्दालीया मातीन त्यानी सात दुष्ट आत्मा काढेल व्हतात तिले तो पहिले दखायना.
Holy-Bible---Ahirani---Ahirani-Bible	Aion txt != Stan	043-JOH-003-015	043	JOH	003	015	याकरता की जो कोणी त्यानावर ईश्वास ठेई त्याले त्यानामा सार्वकालिक जिवन भेटी. (aiōnios g166)
