# File Name: IVERSE.txt
# File Size: 1232809     
# File Date: 02/17/2026 10:46:12
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	REF	TEXT
BIBLE	REFERENCE	TEXT
Holy-Bible---Abureni---Abureni-Bible	JOH-003-016		
Holy-Bible---Abureni---Abureni-Bible	GEN-003-024		
Holy-Bible---Abureni---Abureni-Bible	LUK-023-034	A̠luk 23:34	[Sa̠ A̠zizo̠s a̠mution okoroko ma̠a̠, “O̠we̠de̠, we̠le̠mane̠ ma̠ i̠karabh d̠awa ma̠ a̠nigha̠ awa! Ezin bho̠, awa iloghom d̠o̠ ma̠ abar awa na̠ egir.”] Sa̠ awa irobh okob̠a̠ ma̠ o̠loghom agu̠o̠ awa ta̠ ebhin e̠ru̠gi̠an ibura̠ d̠o̠yo̠.
Holy-Bible---Abureni---Abureni-Bible	REV-021-002		 
Holy-Bible---Abureni---Abureni-Bible	HEB-011-008	Iburu 11:8	Ad̠u̠a d̠a̠ ologi ima̠ra̠ sa̠ Ebraham anagha ma̠ o̠nu̠o̠kpe̠ ta̠ A̠zib̠a̠ ma̠ igiel bho̠ A̠zib̠a̠ a̠bhelegi i̠na ma̠ o̠d̠u̠a o̠gi̠ d̠a̠ a̠de wa̠ i̠na a̠gua̠n a̠nigha̠ o̠yo̠ bho̠. Ebraham ad̠u̠a d̠a̠ ebhugh d̠o̠yo̠ agi̠ ma̠ esi ola̠ i̠na ologhom d̠o̠.
Holy-Bible---Abureni---Abureni-Bible	EXO-013-017		
Holy-Bible---Abureni---Abureni-Bible	MAR-010-045	Amaki̠ 10:45	Ezin bho̠, O̠nyi̠ ta̠ O̠ni̠ na̠ oru d̠o̠ ma̠ a̠nwunom o̠ro̠ rob̠a̠ra̠motu d̠o̠yo̠, ya̠a̠ i̠na a̠ru ma̠ o̠ro̠ ob̠a̠ra̠motu onigha̠ a̠nwunom, na̠ onigha̠ a̠ghud̠um d̠o̠yo̠ obhin o̠ta a̠d̠izo ogbo.”
Holy-Bible---Abureni---Abureni-Bible	ROM-001-001		
Holy-Bible---Abureni---Abureni-Bible	MAT-028-019	Amatiu 28:19	O̠ku̠a a̠d̠ighi be̠le̠ni̠, i̠gi̠e̠ ka̠ egir agu̠o̠ ola̠ a̠nwunom ta̠ eten ogbo atu̠ghan d̠ami̠ d̠a̠ eb̠la̠ ra̠dede, ma̠ ewur awa ma̠ amu̠m d̠a̠ a̠d̠ien ta̠ O̠we̠de̠ bho̠, na̠ O̠nyi̠ bho̠, na̠ E̠mu̠gh E̠tu̠tu̠ bho̠.
Holy-Bible---Ahirani---Ahirani-Bible	JOH-003-016	योहान 3:16	देवनी जगवर ईतली प्रिती करी की त्यानी आपला एकुलता एक पोऱ्या दिधा, याकरता की जो कोणी त्यानावर ईश्वास ठेवस त्याना नाश व्हणार नही तर त्याले सार्वकालिक जिवन भेटी.
Holy-Bible---Ahirani---Ahirani-Bible	GEN-003-024	उत्पती 3:24	देवनी मानवले बाहेर काढी दिधं अनी जिवनना झाडकडे जाणारा वाटनी राखण कराकरता एदेन बागना पुर्व भागले करूबीम अनं गरागर फिरणारी ज्वालारूपी तलवार ठेई.
Holy-Bible---Ahirani---Ahirani-Bible	LUK-023-034	लूक 23:34	तवय येशु बोलना, “हे बाप, यासले क्षमा कर! कारण ह्या काय करतस हाई ह्यासले समजत नही.” “नंतर त्यासनी चिठ्या टाकीसन त्याना कपडा वाटी लिधात.”
Holy-Bible---Ahirani---Ahirani-Bible	REV-021-002	प्रकटीकरण 21:2-3	तवय मी पवित्र शहर, नवं यरूशलेम, देवपाईन स्वर्गमातीन उतरतांना दखं. ते नवराकरता सजाडेल नवरीनामायक व्हतं. अनी मी राजासनपाईन येल मोठा आवाज ऐका, तो असा दखा, “देवनं घर लोकससंगे शे, त्यासनासंगे देव राही, त्या त्याना लोक व्हतीन, अनी देव स्वतः त्यासनासंगे राही अनी तो त्यासना देव व्हई.
Holy-Bible---Ahirani---Ahirani-Bible	HEB-011-008	इब्री 11:8	अब्राहामले पाचारण व्हवानंतर जे ठिकाण त्याले वतन म्हणीन मिळणार व्हतं तठे जावाकरता तो ईश्वासतीन तयार व्हयना अनी आपण कोणता देशमा जाई राहीनु हाई त्याले माहीत नव्हतं तरी तो निंघी गया.
Holy-Bible---Ahirani---Ahirani-Bible	EXO-013-017	निर्गम 13:17	फारोनी लोकसले जाऊ दिधं तवय पलिष्टी लोकसना देशमातीन वाट जोडीनी व्हती तरीबी देवनी त्यासले ती वाटतीन जाऊ दिध नही, कारण युध्द करनं पडी यानी भितीतीन या लोकं परत मिसर देशमा जातीन अस परमेश्वरले वाटनं.
Holy-Bible---Ahirani---Ahirani-Bible	MAR-010-045	मार्क 10:45	कारण मनुष्यना पोऱ्या पण सेवा करी लेवाले नही तर सेवा कराले अनी लोकसना पापनं मोल म्हणीन आपला जीव देवाले येल शे.”
Holy-Bible---Ahirani---Ahirani-Bible	ROM-001-001	रोम 1:1	प्रेषित व्हवाकरता बलायेल, देवना सुवार्ताकरता येगळा करेल ख्रिस्त येशुना दास, पौल याना कडतीन;
Holy-Bible---Ahirani---Ahirani-Bible	MAT-028-019	मत्तय 28:19	यामुये तुम्हीन जाईसन सर्वा राष्ट्रमाधला लोकसले शिष्य करा; त्यासले पिता, पुत्र अनं पवित्र आत्माना नावतीन बाप्तिस्मा द्या,
Holy-Bible---Ajiya---Ajiya-Bible	JOH-003-016	IYahaya 3:16	“Ka Ọnọng yoo ashi nagigang ki ma Anọ nga ka aye, ka aghọmani ama aipang ni ngaa ni, aba kpoo ba, na asa peni ọkyuọ ni ushi wọ na amaa ba.
Holy-Bible---Ajiya---Ajiya-Bible	GEN-003-024		
Holy-Bible---Ajiya---Ajiya-Bible	LUK-023-034	ILuka 23:34	IYesu vasa tersi, “Ate mi, ẹsọ shọr ngọ kpaa bọ uvulu kọ, ka aye bu imumani asọ ju ba.” Avasa kọ ace bọ ugbang nga kọ hugha ace bọ.
Holy-Bible---Ajiya---Ajiya-Bible	REV-021-002		 
Holy-Bible---Ajiya---Ajiya-Bible	HEB-011-008		
Holy-Bible---Ajiya---Ajiya-Bible	EXO-013-017		
Holy-Bible---Ajiya---Ajiya-Bible	MAR-010-045	IMarkus 10:45	Ka Anọ Ajiya ra ba ka ma ju nga irigara ba, si ni ka tee aghọ ju ajiya utina, ka va ma bọ ọkyuọ nga ka fo ajiya wu.”
Holy-Bible---Ajiya---Ajiya-Bible	ROM-001-001		
Holy-Bible---Ajiya---Ajiya-Bible	MAT-028-019	IMatta 28:19	Kindọ ni inu kya kọ uya tẹri ajiya ashi ka ayii mi, usa bọ ka aba aghọyii mi, nu ju bọ iminimini kidẹ nọ uca Ate kini ugna Anọ kini unga Aghing Ọnọng.
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	JOH-003-016	ያህይ እንጂለ 3:16	«ቤቶንከስ አመዕነኖሀኒሃ ጉዕሚንከ ዘላለሚሃ ሄአኖ ሄኡ ሄኦስታት ቤሉ በአኖበእገ መገኑ ሜጥቹስ ቤቱ ኣሶተ ኢለ ከን ኣዱንያ አል ህትን ኢቴእ።
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	GEN-003-024		
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	LUK-023-034	ሉቃስ እንጂለ 23:34	ኢስን «ኢ አነ! እሰ አታርቹ ደጋበእቤቺሃ መረርሲጭሰ» ዬእ፤ እሰን ኦድኑስ እጠ ኡጅት ቤቀንቶኡ።
