# File Name: RAWCHECK.txt
# File Size: 4696076     
# File Date: 08/31/2026 07:39:05
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	RAWFIX	TEXT	ORIGINAL
Holy-Bible---Apal---Apali-Bible	047	2CO	013	012	MODIFY	Asɨ dɨ hulaŋ iamɨgali alaŋ aludɨ isagali imahali me agɨladɨ iga iga hɨjɨŋalaŋala human lamɨmɨli uami.	Asɨ dɨ hulaŋ iamɨgali alaŋ aludɨ isagali imahali me agɨladɨ iga iga hɨjɨŋalaŋala human lamɨmɨli uami. Asɨ dɨ hulaŋ iamɨgali limu hɨhɨle agɨlaŋ nalusaŋ lamulavi uami.
Holy-Bible---Apal---Apali-Bible	047	2CO	013	013	MODIFY	Asɨ dɨ hulaŋ iamɨgali limu hɨhɨle agɨlaŋ nalusaŋ lamulavi uami.	Aludɨ Hekɨlɨ Jisasɨ Kɨlaisɨ agaŋ nalusaŋ mavɨn hɨnibali uami. Asɨ agaŋ avi nalusaŋ mavɨn hekɨlɨ hɨnibali uami. Asɨ dɨ Amɨŋ agaŋ namɨlaŋ hula hɨnihɨni lɨdaci namɨlaŋ ahuata humɨgaŋ pam laci hɨnibalaŋ uami.
Holy-Bible---Apal---Apali-Bible	047	2CO	013	014	ADD	Aludɨ Hekɨlɨ Jisasɨ Kɨlaisɨ agaŋ nalusaŋ mavɨn hɨnibali uami. Asɨ agaŋ avi nalusaŋ mavɨn hekɨlɨ hɨnibali uami. Asɨ dɨ Amɨŋ agaŋ namɨlaŋ hula hɨnihɨni lɨdaci namɨlaŋ ahuata humɨgaŋ pam laci hɨnibalaŋ uami.	
Holy-Bible---Apal---Apali-Bible	064	3JO	001	014	ADD	Nadɨ humɨgaŋ agaŋ vana simɨ hɨnim uami. Nadɨ nagɨlihalina huaci huaci sɨbaŋ agɨlaŋ nasaŋ lamulavadi uami. Alaŋ aludɨ nagɨlihali huaci huaci sɨbaŋ nama hula hɨniavɨlalɨ agɨlasaŋ lamuladalu uami. Nama uavɨla alaŋ lamuladalu agasaŋ nulɨdɨ hɨtɨŋ hɨtɨŋ sulɨha uami.	
Holy-Bible---Apal---Apali-Bible	064	3JO	001	015	DELETE	Nadɨ humɨgaŋ agaŋ vana simɨ hɨnim uami. Nadɨ nagɨlihalina huaci huaci sɨbaŋ agɨlaŋ nasaŋ lamulavadi uami. Alaŋ aludɨ nagɨlihali huaci huaci sɨbaŋ nama hula hɨniavɨlalɨ agɨlasaŋ lamuladalu uami. Nama uavɨla alaŋ lamuladalu agasaŋ nulɨdɨ hɨtɨŋ hɨtɨŋ sulɨha uami.	
Holy-Bible---Aramaic---Syriac-Peshitta	041	MAR	009	049	MODIFY	ܟܠ ܓܝܪ ܒܢܘܪܐ ܢܬܡܠܚ ܘܟܠ ܕܒܚܬܐ ܒܡܠܚܐ ܬܬܡܠܚ	ܟܠ ܓܝܪ ܒܢܘܪܐ ܢܬܡܠܚ ܘܟܠ ܕܒܚܬܐ ܒܡܠܚܐ ܬܬܡܠܚ   50 ܫܦܝܪܐ ܗܝ ܡܠܚܐ ܐܢ ܕܝܢ ܡܠܚܐ ܬܦܟܗ ܒܡܢܐ ܬܬܡܠܚ ܬܗܘܐ ܒܟܘܢ ܡܠܚܐ ܘܒܫܝܢܐ ܗܘܘ ܚܕ ܥܡ ܚܕ
Holy-Bible---Aramaic---Syriac-Peshitta	041	MAR	009	050	ADD	ܫܦܝܪܐ ܗܝ ܡܠܚܐ ܐܢ ܕܝܢ ܡܠܚܐ ܬܦܟܗ ܒܡܢܐ ܬܬܡܠܚ ܬܗܘܐ ܒܟܘܢ ܡܠܚܐ ܘܒܫܝܢܐ ܗܘܘ ܚܕ ܥܡ ܚܕ	
Holy-Bible---Armenian---Armenian-Bible-Eastern	001	GEN	021	031	MODIFY	որովհետեւ նրանք երկուսով միմեանց երդում տուեցին այնտեղ. Երդման ջրհորի մօտ հաշտութիւն կնքեցին:	որովհետեւ նրանք երկուսով միմեանց երդում տուեցին այնտեղ. Երդման ջրհորի մօտ հաշտութիւն կնքեցին: Աբիմելէքը, նրա սենեկապետ Ոքոզաթն ու նրա զօրքերի սպարապետ Փիքողը այնտեղից վեր կացան ու վերադարձան Փղշտացւոց երկիրը: որովհետեւ նրանք երկուսով միմեանց երդում տուեցին այնտեղ. Երդման ջրհորի մօտ հաշտութիւն կնքեցին: Աբիմելէքը, նրա սենեկապետ Ոքոզաթն ու նրա զօրքերի սպարապետ Փիքողը այնտեղից վեր կացան ու վերադարձան Փղշտացւոց երկիրը:
Holy-Bible---Armenian---Armenian-Bible-Eastern	001	GEN	021	032	MODIFY	Աբիմելէքը, նրա սենեկապետ Ոքոզաթն ու նրա զօրքերի սպարապետ Փիքողը այնտեղից վեր կացան ու վերադարձան Փղշտացւոց երկիրը: որովհետեւ նրանք երկուսով միմեանց երդում տուեցին այնտեղ. Երդման ջրհորի մօտ հաշտութիւն կնքեցին:	Աբրահամը Երդման ջրհորի մօտ ծառ տնկեց, այնտեղ պաշտեց Տիրոջը, նրան կոչեց Աստուած յաւիտենական:
Holy-Bible---Armenian---Armenian-Bible-Eastern	001	GEN	021	033	MODIFY	Աբրահամը Երդման ջրհորի մօտ ծառ տնկեց, այնտեղ պաշտեց Տիրոջը, նրան կոչեց Աստուած յաւիտենական:	Աբրահամը Փղշտացւոց երկրում պանդուխտ մնաց երկար ժամանակ:
