FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
AB-STEPBibleData				https://github.com/STEPBible/STEPBible-Data/archive/refs/heads/master.zip	AB-STEPBibleData.zip
Holy-Bible---Abureni---Abureni-Bible				https://ebible.org/epub/mgj.epub	Holy-Bible---Abureni---Abureni-Bible---Source-Edition.epub
Holy-Bible---Abureni---Abureni-Bible				https://ebible.org/pdf/mgj/mgj_prt.pdf	Holy-Bible---Abureni---Abureni-Bible---Source-Edition.pdf
Holy-Bible---Abureni---Abureni-Bible				https://ebible.org/sword/zip/mgj2025eb.zip	Holy-Bible---Abureni---Abureni-Bible---Source-Edition.SWORD.zip
Holy-Bible---Abureni---Abureni-Bible				https://ebible.org/Scriptures/mgj_vpl.zip	Holy-Bible---Abureni---Abureni-Bible---Source-Edition.VPL.zip
Holy-Bible---Ahirani---Ahirani-Bible				https://ebible.org/epub/ahr.epub	Holy-Bible---Ahirani---Ahirani-Bible---Source-Edition.epub
Holy-Bible---Ahirani---Ahirani-Bible				https://ebible.org/pdf/ahr/ahr_all.pdf	Holy-Bible---Ahirani---Ahirani-Bible---Source-Edition.pdf
Holy-Bible---Ahirani---Ahirani-Bible				https://ebible.org/sword/zip/ahr2023eb.zip	Holy-Bible---Ahirani---Ahirani-Bible---Source-Edition.SWORD.zip
Holy-Bible---Ahirani---Ahirani-Bible				https://ebible.org/Scriptures/ahr_vpl.zip	Holy-Bible---Ahirani---Ahirani-Bible---Source-Edition.VPL.zip
Holy-Bible---Ajiya---Ajiya-Bible				https://ebible.org/epub/idc.epub	Holy-Bible---Ajiya---Ajiya-Bible---Source-Edition.epub
Holy-Bible---Ajiya---Ajiya-Bible				https://ebible.org/pdf/idc/idc_prt.pdf	Holy-Bible---Ajiya---Ajiya-Bible---Source-Edition.pdf
Holy-Bible---Ajiya---Ajiya-Bible				https://ebible.org/sword/zip/idc2025eb.zip	Holy-Bible---Ajiya---Ajiya-Bible---Source-Edition.SWORD.zip
