# File Name: TALLY_HO.txt
# File Size: 31207       
# File Date: 01/01/2026 19:21:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---Abureni---Abureni-Bible	3892	3892	3892
Holy-Bible---Ahirani---Ahirani-Bible	14537	14537	14539
Holy-Bible---Ajiya---Ajiya-Bible	3778	3778	3778
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	7915	7915	7917
Holy-Bible---Amo---Amo-Bible	7952	7952	7956
Holy-Bible---Apal---Apali-Bible	10218	10218	10219
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	31102	31102	31104
Holy-Bible---Arabic---New-Arabic-Bible	31101	31101	31103
Holy-Bible---Aramaic---Syriac-Peshitta	7957	7957	7957
Holy-Bible---Arapaho---Arapaho-Luke	1151	1151	1151
Holy-Bible---Armenian---Armenian-Bible-Eastern	6486	6486	6489
Holy-Bible---Armenian---Armenian-Bible-Western	7955	7955	7956
Holy-Bible---Aruamu---Aruamu-Bible	29919	29919	29921
Holy-Bible---Arumanisht---Aromanian-Bible	2173	2173	2174
Holy-Bible---Assamese---Assamese-Bible	31088	31088	31092
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible	1084	1084	1084
Holy-Bible---Azerbaijani---Azerbaijani-Bible	31057	31057	31072
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	10709	10709	10718
Holy-Bible---Baiso---Basio-Bible	7948	7948	7950
Holy-Bible---Bangwinji---Bangwinji-Bible	7145	7145	7148
Holy-Bible---Bareli-Palya---Palya-Bareli-Bible	1071	1071	1071
Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible	1071	1071	1071
Holy-Bible---Basque---Basque-NT	7932	7932	7932
Holy-Bible---Beami---Bedamuni-Bible	29856	29856	30059
Holy-Bible---Beaver---Beaver-Mark	678	678	678
Holy-Bible---Bekwel---Bekwel-Bible	7947	7947	7951
Holy-Bible---Bengali---Bengali-Bible	31094	31094	31097
Holy-Bible---Bengali---Contemporary	31100	31100	31101
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible	7938	7938	7940
Holy-Bible---Bhattiyali---Bhattiyali-Bible	7886	7886	7888
Holy-Bible---Bhilali---Bhilali-Bible	7955	7955	7957
Holy-Bible---Blackfoot---Matthew	1071	1071	1071
Holy-Bible---Bodo-Parja---BOPO-Bible	7957	7957	7959
Holy-Bible---Boga---Boga-Bible	2122	2122	2122
Holy-Bible---Bondei---Bondei-Bible	3779	3779	3779
Holy-Bible---Borna---Borna-Latin-Bible	7945	7945	7948
Holy-Bible---Breton---Breton-Gospels	3779	3779	3779
Holy-Bible---Bu---Bauchi-Bu-Bible	1793	1793	1793
Holy-Bible---Bu---Bu-Bible	7951	7951	7954
Holy-Bible---Bugun---Bugun-Bible	7910	7910	7912
Holy-Bible---Bulgarian---Bulgarian-Bible	31096	31096	31102
Holy-Bible---Bwile---Bwile-Bible	1226	1226	1226
Holy-Bible---Calo---Calo-Bible	1151	1151	1151
Holy-Bible---Cebuano---Cebuano-Bible	31098	31098	31103
Holy-Bible---Cebuano---Cebuano-Open-Bible	30551	30551	30553
Holy-Bible---Cebuano---Cebuano-Philippine	31102	31102	31102
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms	7246	7246	7246
Holy-Bible---Cherokee---Cherokee-New-Testament	7957	7957	7957
Holy-Bible---Chhattisgarhi---Chhattisgarhi-Bible	31102	31102	31103
Holy-Bible---Chichewa---Chichewa-Bible	31102	31102	31104
Holy-Bible---Chin-Daai---Daai-Chin-Bible	7924	7924	7926
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible	31074	31074	31075
Holy-Bible---Chin-Matu---Matupi-Chin-2019	31102	31102	31104
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	31102	31102	31104
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible	11333	11333	11333
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	7957	7957	7959
Holy-Bible---Chin-Thado---Chongthu-Bible	31056	31056	31059
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible	31102	31102	31104
Holy-Bible---Chinese---Chinese-Easy-to-Read	7941	7941	7959
Holy-Bible---Chinese---Chinese-Sigao-Bible	31101	31101	31348
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	31017	31017	31019
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	31017	31017	31019
Holy-Bible---Chinese---Mandarin-Bible-Simplified	30959	30959	30961
Holy-Bible---Chinese---Mandarin-Bible-Traditional	30959	30959	30961
Holy-Bible---Chiyawo---Yao	7957	7957	7959
Holy-Bible---Cishingini---Cishingini-Bible	19187	19187	19187
Holy-Bible---Coptic---Coptic-Boharic-NT	7950	7950	7957
Holy-Bible---Coptic---Coptic-NT	7945	7945	7957
Holy-Bible---Coptic---Sahidic-Bible	7897	7897	7935
Holy-Bible---Coptic---Sahidic-Coptic-Horner	7905	7905	7934
Holy-Bible---Croatian---Croatian-Bible	31086	31086	31342
Holy-Bible---Croatian---Croatian-Open-Bible	7947	7947	7948
Holy-Bible---Cung---Chung-Bible	7948	7948	7951
Holy-Bible---Czech---Czech-Bible-Kralicka	31102	31102	31103
Holy-Bible---Czech---Kralicka	31102	31102	31175
Holy-Bible---Czech---Living-Bible	7409	7409	7410
Holy-Bible---Danish---Danish-1871-1907	31102	31102	31112
Holy-Bible---Danish---Danish-1931-1907	31102	31102	31112
Holy-Bible---Danish---Danish-Bible	31102	31102	31102
Holy-Bible---Dawro---Dawuro-Bible	30812	30812	30815
Holy-Bible---Desiya---Desiya-Bible	7957	7957	7959
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible	14538	14538	14540
Holy-Bible---Dholuo---Dholuo-Bible	31102	31102	31103
Holy-Bible---Dombe---Dombe-Bible	7955	7955	7959
Holy-Bible---Dongxiang---Donxian-Bible	7919	7919	7921
Holy-Bible---Dutch---Canisiusvertaling	31069	31069	31417
Holy-Bible---Dutch---Leuvense-Bible	31078	31078	31374
Holy-Bible---Dutch---Schrift	31102	31102	31102
Holy-Bible---Dutch---Statenvertaling	31102	31102	31175
Holy-Bible---Duya---Duya-Bible	7939	7939	7940
Holy-Bible---Ekajuk---Ekajuk-Bible	15889	15889	15891
Holy-Bible---English---A-Conservative-Version	31102	31102	31102
Holy-Bible---English---Aionian-Bible	31098	31098	31103
Holy-Bible---English---American-Standard-Version-1901	31086	31086	31102
Holy-Bible---English---Anderson-Bible	7956	7956	7956
Holy-Bible---English---Berean-Standard	31086	31086	31086
Holy-Bible---English---Bible-in-Basic-English	31067	31067	31102
Holy-Bible---English---Brenton-English-Septuagint	22869	22869	22888
Holy-Bible---English---British-English-Septuagint-2012	22869	22869	22888
Holy-Bible---English---Catholic-Public-Domain	31096	31096	31460
Holy-Bible---English---Darby-Translation	31099	31099	31099
Holy-Bible---English---Douay-Rheims-1899	31096	31096	31461
Holy-Bible---English---Family-35-NT	7953	7953	7953
Holy-Bible---English---Free-Bible-Version	31086	31086	31104
Holy-Bible---English---Geneva-Bible	31101	31101	31104
Holy-Bible---English---Godbey-Bible	7913	7913	7913
Holy-Bible---English---Gods-Living-Word	1012	1012	1012
Holy-Bible---English---Haweis-Bible	7957	7957	7957
Holy-Bible---English---Jewish-Bible	23145	23145	23145
Holy-Bible---English---King-James-Version	31102	31102	31102
Holy-Bible---English---King-James-Version-American	31102	31102	31102
Holy-Bible---English---King-James-Version-Cambridge	31102	31102	31102
Holy-Bible---English---King-James-Version-Restored-Name	31102	31102	31102
Holy-Bible---English---King-James-Version-Revised	31102	31102	31102
Holy-Bible---English---King-James-Version-Updated	31102	31102	31102
Holy-Bible---English---LXX2012-U-S-English	22869	22869	22888
Holy-Bible---English---Leeser-Tanakh	23143	23143	23145
Holy-Bible---English---Literal-Standard	31102	31102	31104
Holy-Bible---English---Living-Oracles-NT	7955	7955	7957
Holy-Bible---English---Majority-Standard-Bible	31098	31098	31102
Holy-Bible---English---Montgomery-NT	7940	7940	7942
Holy-Bible---English---New-Heart-Aramaic	31094	31094	31103
Holy-Bible---English---New-Heart-Jehovah	31094	31094	31103
Holy-Bible---English---New-Heart-Jesus-Messiah	31094	31094	31103
Holy-Bible---English---New-Heart-Messianic	31094	31094	31103
Holy-Bible---English---New-Heart-Standard	31094	31094	31103
Holy-Bible---English---New-Heart-YHWH	31094	31094	31103
Holy-Bible---English---Noyes	18213	18213	18231
Holy-Bible---English---One-Unity-Resource-Bible	14299	14299	14299
Holy-Bible---English---Open-English-Bible-Commonwealth	13892	13892	13913
Holy-Bible---English---Open-English-Bible-US	13892	13892	13913
Holy-Bible---English---Orthodox-Jewish-Bible	31093	31093	31165
Holy-Bible---English---Revised-Version	31086	31086	31102
Holy-Bible---English---Rotherham-Bible	31086	31086	31090
Holy-Bible---English---STEPBible-Amalgamant	31102	31102	31102
Holy-Bible---English---STEPBible-Concordant	31102	31102	31102
Holy-Bible---English---Syriac-Peshitta-Etheridge	7940	7940	7940
Holy-Bible---English---Syriac-Peshitta-Murdock	7957	7957	7957
Holy-Bible---English---Text-Critical	7953	7953	7954
Holy-Bible---English---Trans-Trans	30641	30641	30643
Holy-Bible---English---Twentieth-Century-NT	7942	7942	7942
Holy-Bible---English---Tyndale-Bible	13846	13846	13846
Holy-Bible---English---Unlocked-Literal-Bible	31086	31086	31104
Holy-Bible---English---Webster-Bible	31102	31102	31102
Holy-Bible---English---Webster-Bible-Revised	31102	31102	31102
Holy-Bible---English---Weymouth-NT	7942	7942	7943
Holy-Bible---English---World-English-Bible	31098	31098	31103
Holy-Bible---English---World-English-Bible-British-Edition	31098	31098	31103
Holy-Bible---English---World-English-Bible-Updated	31098	31098	31103
Holy-Bible---English---World-Messianic-Bible	31098	31098	31103
Holy-Bible---English---World-Messianic-Bible-British-Edition	31098	31098	31103
Holy-Bible---English---Worsley-Bible	7957	7957	7958
Holy-Bible---English---Wycliffe-Bible	31095	31095	31456
Holy-Bible---English---Youngs-Literal-Translation	31102	31102	31102
Holy-Bible---Esperanto---Esperanto-Bible	31102	31102	31102
Holy-Bible---Estonian---Contemporary	7957	7957	7958
Holy-Bible---Estonian---For-All	4200	4200	4212
Holy-Bible---Etulo---Etulo-Bible	7957	7957	7959
Holy-Bible---Ewe---Word-of-Life	31102	31102	31103
Holy-Bible---Falam---Falam-Chin-Bible	673	673	678
Holy-Bible---Finnish---Finnish-Bible	31102	31102	31102
