INDEX	BOOK	CHAPTER	VERSE	WORD	STRONGS
001	GEN	037	035	SHEOL	h7585
001	GEN	042	038	SHEOL	h7585
001	GEN	044	029	SHEOL	h7585
001	GEN	044	031	SHEOL	h7585
004	NUM	016	030	SHEOL	h7585
004	NUM	016	033	SHEOL	h7585
005	DEU	032	022	SHEOL	h7585
009	1SA	002	006	SHEOL	h7585
010	2SA	022	006	SHEOL	h7585
011	1KI	002	006	SHEOL	h7585
011	1KI	002	009	SHEOL	h7585
018	JOB	007	009	SHEOL	h7585
018	JOB	011	008	SHEOL	h7585
018	JOB	014	013	SHEOL	h7585
018	JOB	017	013	SHEOL	h7585
018	JOB	017	016	SHEOL	h7585
018	JOB	021	013	SHEOL	h7585
018	JOB	024	019	SHEOL	h7585
018	JOB	026	006	SHEOL	h7585
019	PSA	006	005	SHEOL	h7585
019	PSA	009	017	SHEOL	h7585
019	PSA	016	010	SHEOL	h7585
019	PSA	018	005	SHEOL	h7585
019	PSA	030	003	SHEOL	h7585
019	PSA	031	017	SHEOL	h7585
019	PSA	049	014	SHEOL	h7585
019	PSA	049	015	SHEOL	h7585
019	PSA	055	015	SHEOL	h7585
019	PSA	086	013	SHEOL	h7585
019	PSA	088	003	SHEOL	h7585
019	PSA	089	048	SHEOL	h7585
019	PSA	116	003	SHEOL	h7585
019	PSA	139	008	SHEOL	h7585
019	PSA	141	007	SHEOL	h7585
020	PRO	001	012	SHEOL	h7585
020	PRO	005	005	SHEOL	h7585
020	PRO	007	027	SHEOL	h7585
020	PRO	009	018	SHEOL	h7585
020	PRO	015	011	SHEOL	h7585
020	PRO	015	024	SHEOL	h7585
020	PRO	023	014	SHEOL	h7585
020	PRO	027	020	SHEOL	h7585
020	PRO	030	016	SHEOL	h7585
021	ECC	009	010	SHEOL	h7585
022	SOL	008	006	SHEOL	h7585
023	ISA	005	014	SHEOL	h7585
023	ISA	007	011	SHEOL	h7585
023	ISA	014	009	SHEOL	h7585
023	ISA	014	011	SHEOL	h7585
023	ISA	014	015	SHEOL	h7585
023	ISA	028	015	SHEOL	h7585
023	ISA	028	018	SHEOL	h7585
023	ISA	038	010	SHEOL	h7585
023	ISA	038	018	SHEOL	h7585
023	ISA	057	009	SHEOL	h7585
026	EZE	031	015	SHEOL	h7585
026	EZE	031	016	SHEOL	h7585
026	EZE	031	017	SHEOL	h7585
026	EZE	032	021	SHEOL	h7585
026	EZE	032	027	SHEOL	h7585
028	HOS	013	014	SHEOL	h7585
030	AMO	009	002	SHEOL	h7585
032	JON	002	002	SHEOL	h7585
035	HAB	002	005	SHEOL	h7585
040	MAT	005	022	GEHENNA	g1067
040	MAT	005	029	GEHENNA	g1067
040	MAT	005	030	GEHENNA	g1067
040	MAT	010	028	GEHENNA	g1067
040	MAT	011	023	HADES	g86
040	MAT	012	032	AIONS	g165
040	MAT	013	022	AIONS	g165
040	MAT	013	039	AIONS	g165
040	MAT	013	040	AIONS	g165
040	MAT	013	049	AIONS	g165
040	MAT	016	018	HADES	g86
040	MAT	018	008	AIONIAN	g166
040	MAT	018	009	GEHENNA	g1067
040	MAT	019	016	AIONIAN	g166
040	MAT	019	029	AIONIAN	g166
040	MAT	021	019	AIONS	g165
040	MAT	023	015	GEHENNA	g1067
040	MAT	023	033	GEHENNA	g1067
040	MAT	024	003	AIONS	g165
040	MAT	025	041	AIONIAN	g166
040	MAT	025	046	AIONIAN	g166
040	MAT	028	020	AIONS	g165
041	MAR	003	029	AIONS,AIONIAN	g165,g166
041	MAR	004	019	AIONS	g165
041	MAR	009	043	GEHENNA	g1067
041	MAR	009	045	GEHENNA	g1067
041	MAR	009	047	GEHENNA	g1067
041	MAR	010	017	AIONIAN	g166
041	MAR	010	030	AIONS,AIONIAN	g165,g166
041	MAR	011	014	AIONS	g165
042	LUK	001	033	AIONS	g165
042	LUK	001	055	AIONS	g165
042	LUK	001	070	AIONS	g165
042	LUK	008	031	ABYSS	g12
042	LUK	010	015	HADES	g86
042	LUK	010	025	AIONIAN	g166
042	LUK	012	005	GEHENNA	g1067
042	LUK	016	008	AIONS	g165
042	LUK	016	009	AIONIAN	g166
042	LUK	016	023	HADES	g86
042	LUK	018	018	AIONIAN	g166
042	LUK	018	030	AIONS,AIONIAN	g165,g166
042	LUK	020	034	AIONS	g165
042	LUK	020	035	AIONS	g165
043	JOH	003	015	AIONIAN	g166
043	JOH	003	016	AIONIAN	g166
043	JOH	003	036	AIONIAN	g166
043	JOH	004	014	AIONS,AIONIAN	g165,g166
043	JOH	004	036	AIONIAN	g166
043	JOH	005	024	AIONIAN	g166
043	JOH	005	039	AIONIAN	g166
043	JOH	006	027	AIONIAN	g166
043	JOH	006	040	AIONIAN	g166
043	JOH	006	047	AIONIAN	g166
043	JOH	006	051	AIONS	g165
043	JOH	006	054	AIONIAN	g166
043	JOH	006	058	AIONS	g165
043	JOH	006	068	AIONIAN	g166
043	JOH	008	035	AIONS	g165
043	JOH	008	051	AIONS	g165
043	JOH	008	052	AIONS	g165
043	JOH	009	032	AIONS	g165
043	JOH	010	028	AIONS,AIONIAN	g165,g166
043	JOH	011	026	AIONS	g165
043	JOH	012	025	AIONIAN	g166
043	JOH	012	034	AIONS	g165
043	JOH	012	050	AIONIAN	g166
043	JOH	013	008	AIONS	g165
043	JOH	014	016	AIONS	g165
043	JOH	017	002	AIONIAN	g166
043	JOH	017	003	AIONIAN	g166
044	ACT	002	027	HADES	g86
044	ACT	002	031	HADES	g86
044	ACT	003	021	AIONS	g165
044	ACT	013	046	AIONIAN	g166
044	ACT	013	048	AIONIAN	g166
044	ACT	015	018	AIONS	g165
045	ROM	001	020	AIDIOS	g126
045	ROM	001	025	AIONS	g165
045	ROM	002	007	AIONIAN	g166
045	ROM	005	021	AIONIAN	g166
045	ROM	006	022	AIONIAN	g166
045	ROM	006	023	AIONIAN	g166
045	ROM	009	005	AIONS	g165
045	ROM	010	007	ABYSS	g12
045	ROM	011	032	ELEESE	g1653
045	ROM	011	036	AIONS	g165
045	ROM	012	002	AIONS	g165
045	ROM	016	025	AIONIAN	g166
045	ROM	016	026	AIONIAN	g166
045	ROM	016	027	AIONS	g165
046	1CO	001	020	AIONS	g165
046	1CO	002	006	AIONS	g165
046	1CO	002	007	AIONS	g165
046	1CO	002	008	AIONS	g165
046	1CO	003	018	AIONS	g165
046	1CO	008	013	AIONS	g165
046	1CO	010	011	AIONS	g165
046	1CO	015	055	HADES	g86
047	2CO	004	004	AIONS	g165
047	2CO	004	017	AIONIAN	g166
047	2CO	004	018	AIONIAN	g166
047	2CO	005	001	AIONIAN	g166
047	2CO	009	009	AIONS	g165
047	2CO	011	031	AIONS	g165
048	GAL	001	004	AIONS	g165
048	GAL	001	005	AIONS	g165
048	GAL	006	008	AIONIAN	g166
049	EPH	001	021	AIONS	g165
049	EPH	002	002	AIONS	g165
049	EPH	002	007	AIONS	g165
049	EPH	003	009	AIONS	g165
049	EPH	003	011	AIONS	g165
049	EPH	003	021	AIONS	g165
049	EPH	006	012	AIONS	g165
050	PHI	004	020	AIONS	g165
051	COL	001	026	AIONS	g165
053	2TH	001	009	AIONIAN	g166
053	2TH	002	016	AIONIAN	g166
054	1TI	001	016	AIONIAN	g166
054	1TI	001	017	AIONS	g165
054	1TI	006	012	AIONIAN	g166
054	1TI	006	016	AIONIAN	g166
054	1TI	006	017	AIONS	g165
055	2TI	001	009	AIONIAN	g166
055	2TI	002	010	AIONIAN	g166
055	2TI	004	010	AIONS	g165
055	2TI	004	018	AIONS	g165
056	TIT	001	002	AIONIAN	g166
056	TIT	002	012	AIONS	g165
056	TIT	003	007	AIONIAN	g166
057	PHM	001	015	AIONIAN	g166
058	HEB	001	002	AIONS	g165
058	HEB	001	008	AIONS	g165
058	HEB	005	006	AIONS	g165
058	HEB	005	009	AIONIAN	g166
058	HEB	006	002	AIONIAN	g166
058	HEB	006	005	AIONS	g165
058	HEB	006	020	AIONS	g165
058	HEB	007	017	AIONS	g165
058	HEB	007	021	AIONS	g165
058	HEB	007	024	AIONS	g165
058	HEB	007	028	AIONS	g165
058	HEB	009	012	AIONIAN	g166
058	HEB	009	014	AIONIAN	g166
058	HEB	009	015	AIONIAN	g166
058	HEB	009	026	AIONS	g165
058	HEB	011	003	AIONS	g165
058	HEB	013	008	AIONS	g165
058	HEB	013	020	AIONIAN	g166
058	HEB	013	021	AIONS	g165
059	JAM	003	006	GEHENNA	g1067
060	1PE	001	023	AIONS	g165
060	1PE	001	025	AIONS	g165
060	1PE	004	011	AIONS	g165
060	1PE	005	010	AIONIAN	g166
060	1PE	005	011	AIONS	g165
061	2PE	001	011	AIONIAN	g166
061	2PE	002	004	TARTARUS	g5020
061	2PE	003	018	AIONS	g165
062	1JO	001	002	AIONIAN	g166
062	1JO	002	017	AIONS	g165
062	1JO	002	025	AIONIAN	g166
062	1JO	003	015	AIONIAN	g166
062	1JO	005	011	AIONIAN	g166
062	1JO	005	013	AIONIAN	g166
062	1JO	005	020	AIONIAN	g166
063	2JO	001	002	AIONS	g165
065	JUD	001	006	AIDIOS	g126
065	JUD	001	007	AIONIAN	g166
065	JUD	001	013	AIONS	g165
065	JUD	001	021	AIONIAN	g166
065	JUD	001	025	AIONS	g165
066	REV	001	006	AIONS	g165
066	REV	001	018	AIONS,HADES	g165,g86
066	REV	004	009	AIONS	g165
066	REV	004	010	AIONS	g165
066	REV	005	013	AIONS	g165
066	REV	006	008	HADES	g86
066	REV	007	012	AIONS	g165
066	REV	009	001	ABYSS	g12
066	REV	009	002	ABYSS	g12
066	REV	009	011	ABYSS	g12
066	REV	010	006	AIONS	g165
066	REV	011	007	ABYSS	g12
066	REV	011	015	AIONS	g165
066	REV	014	006	AIONIAN	g166
066	REV	014	011	AIONS	g165
066	REV	015	007	AIONS	g165
066	REV	017	008	ABYSS	g12
066	REV	019	003	AIONS	g165
066	REV	019	020	LOF	g3041,g4442
066	REV	020	001	ABYSS	g12
066	REV	020	003	ABYSS	g12
066	REV	020	010	AIONS,LOF	g165,g3041,g4442
066	REV	020	013	HADES	g86
066	REV	020	014	HADES,LOF	g86,g3041,g4442
066	REV	020	015	LOF	g3041,g4442
066	REV	021	008	LOF	g3041,g4442
066	REV	022	005	AIONS	g165
