# File Name: UNTRANSLATECOUNT.txt
# File Size: 53448       
# File Date: 01/01/2026 19:06:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	ELEESE	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Abureni---Abureni-Bible	0	0	0	12	0	4	1	0	0	43	27	6	1	0	0	0	94	91	91	0	173	0	0
Holy-Bible---Ahirani---Ahirani-Bible	0	0	12	12	1	11	9	1	5	94	63	10	2	0	0	0	220	212	212	0	52	0	0
Holy-Bible---Ajiya---Ajiya-Bible	0	0	0	11	0	4	1	0	0	26	24	10	0	0	0	0	76	71	71	0	193	0	0
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	200	199	1	64	0	1
Holy-Bible---Amo---Amo-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Apal---Apali-Bible	0	0	4	12	1	11	9	1	5	94	63	8	2	0	10	0	210	203	193	11	60	0	10
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Arabic---New-Arabic-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Aramaic---Syriac-Peshitta	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Arapaho---Arapaho-Luke	0	0	0	1	0	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	250	0	0
Holy-Bible---Armenian---Armenian-Bible-Eastern	0	0	4	11	0	4	1	0	0	24	24	10	0	0	0	0	78	73	73	2	189	0	0
Holy-Bible---Armenian---Armenian-Bible-Western	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Aruamu---Aruamu-Bible	0	0	64	12	1	11	9	1	5	93	62	10	2	0	9	0	270	262	253	11	0	0	9
Holy-Bible---Arumanisht---Aromanian-Bible	0	0	0	10	0	2	0	0	0	19	22	4	1	0	0	0	58	56	56	0	208	0	0
Holy-Bible---Assamese---Assamese-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible	0	0	0	3	0	0	0	0	0	12	4	4	0	0	0	0	23	21	21	0	243	0	0
Holy-Bible---Azerbaijani---Azerbaijani-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	2	0	272	264	262	2	0	0	2
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	0	0	7	12	0	6	1	0	0	20	17	6	0	0	0	0	69	66	66	0	198	0	0
Holy-Bible---Baiso---Basio-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	2	0	208	200	198	2	64	0	2
Holy-Bible---Bangwinji---Bangwinji-Bible	0	0	0	8	1	11	9	1	5	92	62	6	2	0	1	0	197	192	191	0	73	0	1
Holy-Bible---Bareli-Palya---Palya-Bareli-Bible	0	0	0	7	0	2	0	0	0	8	5	0	0	0	0	0	22	22	22	0	242	0	0
Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible	0	0	0	7	0	2	0	0	0	8	5	0	0	0	0	0	22	22	22	0	242	0	0
Holy-Bible---Basque---Basque-NT	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Beami---Bedamuni-Bible	0	0	64	12	1	11	9	1	5	93	61	12	2	0	5	0	271	263	259	4	0	1	4
Holy-Bible---Beaver---Beaver-Mark	0	0	0	3	0	0	0	0	0	2	1	4	0	0	0	0	10	8	8	0	256	0	0
Holy-Bible---Bekwel---Bekwel-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Bengali---Bengali-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Bengali---Contemporary	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Bhattiyali---Bhattiyali-Bible	0	0	0	12	1	11	9	1	4	92	62	12	2	0	8	0	206	197	190	8	64	2	7
Holy-Bible---Bhilali---Bhilali-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Blackfoot---Matthew	0	0	0	7	0	2	0	0	0	8	5	0	0	0	0	0	22	22	22	0	242	0	0
Holy-Bible---Bodo-Parja---BOPO-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Boga---Boga-Bible	0	0	0	3	0	3	0	0	0	11	3	4	0	0	0	0	24	22	22	0	242	0	0
Holy-Bible---Bondei---Bondei-Bible	0	0	0	11	0	4	1	0	0	26	24	10	0	0	0	0	76	71	71	0	193	0	0
Holy-Bible---Borna---Borna-Latin-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	2	0	208	201	199	1	64	0	2
Holy-Bible---Breton---Breton-Gospels	0	0	0	11	0	4	1	0	0	26	24	10	0	0	0	0	76	71	71	0	193	0	0
Holy-Bible---Bu---Bauchi-Bu-Bible	0	0	0	4	0	2	0	0	0	4	3	4	0	0	0	0	17	15	15	0	249	0	0
Holy-Bible---Bu---Bu-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Bugun---Bugun-Bible	0	0	0	12	1	11	9	1	5	93	62	12	2	0	1	0	208	199	199	1	64	0	0
Holy-Bible---Bulgarian---Bulgarian-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Bwile---Bwile-Bible	0	0	0	8	0	2	0	0	0	8	7	0	0	0	0	0	25	25	25	0	239	0	0
Holy-Bible---Calo---Calo-Bible	0	0	0	1	0	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	250	0	0
Holy-Bible---Cebuano---Cebuano-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Cebuano---Cebuano-Open-Bible	0	0	64	12	1	11	9	1	4	94	63	10	2	0	4	0	271	263	259	5	0	0	4
Holy-Bible---Cebuano---Cebuano-Philippine	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms	0	0	15	11	0	6	1	0	0	28	26	10	0	0	0	0	97	92	92	0	172	0	0
Holy-Bible---Cherokee---Cherokee-New-Testament	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Chhattisgarhi---Chhattisgarhi-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Chichewa---Chichewa-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Chin-Daai---Daai-Chin-Bible	0	0	0	12	1	11	9	1	5	93	62	12	2	0	3	0	208	200	198	2	64	0	2
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Chin-Matu---Matupi-Chin-2019	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible	0	0	24	12	1	11	9	1	5	94	63	10	2	0	1	0	232	225	224	0	40	0	1
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Chin-Thado---Chongthu-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Chinese---Chinese-Easy-to-Read	9	0	0	12	1	11	9	1	5	94	63	10	2	0	3	0	208	202	200	0	64	0	2
Holy-Bible---Chinese---Chinese-Sigao-Bible	24	6	64	12	1	11	9	1	5	94	63	10	2	0	1	6	272	265	264	0	0	0	1
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	114	1	64	12	1	11	9	1	5	94	63	10	2	0	0	1	272	264	264	0	0	0	0
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	104	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Chinese---Mandarin-Bible-Simplified	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	264	263	1	0	0	1
Holy-Bible---Chinese---Mandarin-Bible-Traditional	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	264	263	1	0	0	1
Holy-Bible---Chiyawo---Yao	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Cishingini---Cishingini-Bible	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	49	49	49	0	215	0	0
Holy-Bible---Coptic---Coptic-Boharic-NT	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Coptic---Coptic-NT	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Coptic---Sahidic-Bible	0	0	0	12	1	11	9	1	5	92	61	10	1	0	1	0	203	196	195	0	69	0	1
Holy-Bible---Coptic---Sahidic-Coptic-Horner	0	0	0	12	1	11	9	1	5	93	63	10	2	0	1	0	207	200	199	0	65	0	1
Holy-Bible---Croatian---Croatian-Bible	0	1	64	12	1	11	9	1	5	94	63	10	2	0	0	1	272	264	264	0	0	0	0
Holy-Bible---Croatian---Croatian-Open-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Cung---Chung-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	200	199	1	64	0	1
Holy-Bible---Czech---Czech-Bible-Kralicka	55	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Czech---Kralicka	55	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Czech---Living-Bible	5	0	0	11	1	11	9	1	5	92	63	10	2	0	2	0	205	199	197	0	64	3	2
Holy-Bible---Danish---Danish-1871-1907	0	1	64	12	1	11	9	1	5	94	63	10	2	0	0	1	272	264	264	0	0	0	0
