BIBLE	INDEX	BOOK	CHAPTER	VERSE	WORD	STRONGS	UNTRANS	TEXT
Holy-Bible---Abureni---Abureni-Bible								NULL
Holy-Bible---Ahirani---Ahirani-Bible								NULL
Holy-Bible---Ajiya---Ajiya-Bible								NULL
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	001	054	AIONS	g165		NULL
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	042	LUK	001	055	SKIP			NULL
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible								NULL
Holy-Bible---Amo---Amo-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Amo---Amo-Bible								NULL
Holy-Bible---Apal---Apali-Bible	001	GEN	044	030	SHEOL	h7585		NULL
Holy-Bible---Apal---Apali-Bible	001	GEN	044	031	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	041	MAR	003	028	AIONS	g165		NULL
Holy-Bible---Apal---Apali-Bible	041	MAR	003	029	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	041	MAR	010	029	AIONS,AIONIAN	g165,g166		NULL
Holy-Bible---Apal---Apali-Bible	041	MAR	010	030	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	042	LUK	001	054	AIONS	g165		NULL
Holy-Bible---Apal---Apali-Bible	042	LUK	001	055	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	044	ACT	015	017	AIONS	g165		NULL
Holy-Bible---Apal---Apali-Bible	044	ACT	015	018	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	046	1CO	002	008	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	058	HEB	006	001	AIONIAN	g166		NULL
Holy-Bible---Apal---Apali-Bible	058	HEB	006	002	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	058	HEB	006	004	AIONS	g165		NULL
Holy-Bible---Apal---Apali-Bible	058	HEB	006	005	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	058	HEB	007	020	AIONS	g165		NULL
Holy-Bible---Apal---Apali-Bible	058	HEB	007	021	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	066	REV	010	005	AIONS	g165		NULL
Holy-Bible---Apal---Apali-Bible	066	REV	010	006	SKIP			NULL
Holy-Bible---Apal---Apali-Bible	066	REV	020	002	ABYSS	g12		NULL
Holy-Bible---Apal---Apali-Bible	066	REV	020	003	SKIP			NULL
Holy-Bible---Apal---Apali-Bible								NULL
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible								NULL
Holy-Bible---Arabic---New-Arabic-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Arabic---New-Arabic-Bible								NULL
Holy-Bible---Aramaic---Syriac-Peshitta	061	2PE	002	017	NOTE			questioned
Holy-Bible---Aramaic---Syriac-Peshitta								NULL
