# File Name: UNTRANSLATEREVERSE.txt
# File Size: 11866416    
# File Date: 08/22/2026 15:09:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	INDEXX	BOOKX	CHAPTERX	VERSEX
Holy-Bible---Ahirani---Ahirani-Bible	064	3JO	001	014-SKIP	064	3JO	001	014-SKIP
Holy-Bible---Ahirani---Ahirani-Bible	064	3JO	001	014	064	3JO	001	015
Holy-Bible---Ahirani---Ahirani-Bible	066	REV	012	018-SKIP	066	REV	012	018-SKIP
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	064	3JO	001	014-SKIP	064	3JO	001	014-SKIP
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	064	3JO	001	014	064	3JO	001	015
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	066	REV	012	018-SKIP	066	REV	012	018-SKIP
Holy-Bible---Amo---Amo-Bible	041	MAR	009	046-SKIP	041	MAR	009	046-SKIP
Holy-Bible---Amo---Amo-Bible	044	ACT	001	008-SKIP	044	ACT	001	008-SKIP
Holy-Bible---Amo---Amo-Bible	064	3JO	001	014-SKIP	064	3JO	001	014-SKIP
Holy-Bible---Amo---Amo-Bible	064	3JO	001	014	064	3JO	001	015
Holy-Bible---Amo---Amo-Bible	066	REV	012	018-SKIP	066	REV	012	018-SKIP
Holy-Bible---Apal---Apali-Bible	066	REV	012	018-SKIP	066	REV	012	018-SKIP
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	054	1TI	006	021-SKIP	054	1TI	006	021-SKIP
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	054	1TI	006	021	054	1TI	006	022
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	064	3JO	001	014-SKIP	064	3JO	001	014-SKIP
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	064	3JO	001	014	064	3JO	001	015
Holy-Bible---Arabic---New-Arabic-Bible	054	1TI	006	021-SKIP	054	1TI	006	021-SKIP
Holy-Bible---Arabic---New-Arabic-Bible	054	1TI	006	021	054	1TI	006	022
Holy-Bible---Arabic---New-Arabic-Bible	064	3JO	001	014-SKIP	064	3JO	001	014-SKIP
Holy-Bible---Arabic---New-Arabic-Bible	064	3JO	001	014	064	3JO	001	015
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	009-SKIP	040	MAT	006	009-SKIP
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	009	040	MAT	006	010
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	010	040	MAT	006	011
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	011	040	MAT	006	012
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	012	040	MAT	006	013
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	013	040	MAT	006	014
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	014	040	MAT	006	015
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	015	040	MAT	006	016
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	016	040	MAT	006	017
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	017	040	MAT	006	018
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	018	040	MAT	006	019
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	019	040	MAT	006	020
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	020	040	MAT	006	021
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	021	040	MAT	006	022
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	022	040	MAT	006	023
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	023	040	MAT	006	024
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	024	040	MAT	006	025
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	025	040	MAT	006	026
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	026	040	MAT	006	027
