BIBLE	MAP
Holy-Bible---Abureni---Abureni-Bible	NONE
Holy-Bible---Ahirani---Ahirani-Bible	NONE
Holy-Bible---Ajiya---Ajiya-Bible	NONE
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible	NONE
Holy-Bible---Amo---Amo-Bible	NONE
Holy-Bible---Apal---Apali-Bible	NONE
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	NONE
Holy-Bible---Arabic---New-Arabic-Bible	NONE
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	NONE
Holy-Bible---Aramaic---Syriac-Peshitta	NONE
Holy-Bible---Arapaho---Arapaho-Luke	NONE
Holy-Bible---Armenian---Armenian-Bible-Eastern	MAT12
Holy-Bible---Armenian---Armenian-Bible-Eastern	MAT16
Holy-Bible---Armenian---Armenian-Bible-Eastern	MAT23
Holy-Bible---Armenian---Armenian-Bible-Eastern	MAR11
Holy-Bible---Armenian---Armenian-Bible-Eastern	LUK2
Holy-Bible---Armenian---Armenian-Bible-Eastern	LUK3
Holy-Bible---Armenian---Armenian-Bible-Eastern	LUK11
Holy-Bible---Armenian---Armenian-Bible-Eastern	JOH14
Holy-Bible---Armenian---Armenian-Bible-Eastern	MAR8-9
Holy-Bible---Armenian---Armenian-Bible-Western	MAR8-9
Holy-Bible---Aruamu---Aruamu-Bible	NONE
Holy-Bible---Arumanisht---Aromanian-Bible	NONE
Holy-Bible---Assamese---Assamese-Bible	NONE
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible	NONE
Holy-Bible---Azerbaijani---Azerbaijani-Bible	NONE
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	GEN31-32
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	EXO7-8
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	EXO21-22
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	LEV5-6
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	NUM16-17
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	NUM29-30
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	DEU12-13
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	DEU22-23
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible	DEU28-29
Holy-Bible---Baiso---Basio-Bible	NONE
Holy-Bible---Bangwinji---Bangwinji-Bible	NONE
Holy-Bible---Bareli-Palya---Palya-Bareli-Bible	NONE
Holy-Bible---Basa-Gurmana---Basa-Gurmana-Bible	NONE
Holy-Bible---Basque---Basque-NT	NONE
Holy-Bible---Beami---Bedamuni-Bible	NONE
Holy-Bible---Beaver---Beaver-Mark	NONE
Holy-Bible---Bekwel---Bekwel-Bible	NONE
Holy-Bible---Bengali---Bengali-Bible	NONE
Holy-Bible---Bengali---Contemporary	NONE
