BIBLE	NOTE	PACK	SHORT	NAME	NAMEENGLISH	LANGUAGE	LANGUAGEENGLISH	COUNTRY	RTL	LANGUAGESTYLE	LANGUAGECSS	LANGUAGECODE	LANGUAGECODEISO	LANGUAGESPELL	NOPRO	ABCOPYRIGHT	COPYRIGHT	EXTENSION	WARNING	TRANSLATOR	SOURCE	YEAR	DESCRIPTION	SOURCEDOMAIN	SOURCELINK	SOURCELINKEXTRA	DOWNLOAD	AMAZON	AMAZONNT	AMAZONJOHN	KDP	KDPNT	KDPJOHN	LULU	LULUNT	LULUHARD	LULUJOHN	LULUX	LULUNTX	LULUHARDX	LULUJOHNX	BUYOTHER
Holy-Bible---Abureni---Abureni-Bible			ABU	Abureni Bible	Abureni Bible	Abureni	Abureni	Nigeria (Bayelsa, Rivers)				mgj				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Seed Company	Luke Initiative for Scripture Translation	2022		eBible.org	https://ebible.org/details.php?id=mgj			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-abureni-bible/paperback/product-7kvrzjm.html	NULL	NULL	NULL	7kvrzjm	NULL	NULL	NULL	NULL
Holy-Bible---Ahirani---Ahirani-Bible			AHI	प्रेम संदेश	Ahirani Bible	अहिराणी‎	Ahirani	India (Maharashtra)		font-hindi.css	font-hindi	ahr				Creative Commons Attribution 4.0 International, 2018-2026	Creative Commons Attribution 4.0			The Word for the World International	The Word for the World International	2020		eBible.org	https://ebible.org/details.php?id=ahr			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-ahirani-gospels/paperback/product-7ke7e6w.html	NULL	NULL	NULL	7ke7e6w	NULL	NULL	NULL	NULL
Holy-Bible---Ajiya---Ajiya-Bible			AJI	Ajigha Bible	Ajiya Bible	Ajiya	Ajiya	Nigeria (Kaduna)				idc				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Seed Company	Mission For Scripture Translation And Language Development	2025		eBible.org	https://ebible.org/details.php?id=idc			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-ajiya-bible/paperback/product-nv9642p.html	NULL	NULL	NULL	nv9642p	NULL	NULL	NULL	NULL
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible			ALA	ሃዕሮ ወኣድ መጻፈ	Alaba-K’abeena Bible	Alaba-K'abeena	Alaba-K'abeena	Ethiopia (Rift Valley)		font-ethiopic.css	font-ethiopic	alw				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Word for the World International	The Word for the World International	2025		eBible.org	https://ebible.org/details.php?id=alw			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-alaba-kabeena-bible/paperback/product-845z4e4.html	NULL	NULL	NULL	845z4e4	NULL	NULL	NULL	NULL
Holy-Bible---Amo---Amo-Bible			AMO	Amo Bible	Amo Bible	Timap	Amo	Nigeria (Plateau, Kaduna, Kano)				amo				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Door43 World Missions Community, AFenlason, et al	Door43 World Missions Community, AFenlason, et al	2020		eBible.org	https://ebible.org/details.php?id=amo			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-amo-bible/paperback/product-8mz4j5.html	NULL	NULL	NULL	8mz4j5	NULL	NULL	NULL	NULL
Holy-Bible---Apal---Apali-Bible			APA	Asɨ dɨ Manasɨŋ	Apali Bible	Apalɨ	Apal	Papua New Guinea (Madang)				ena				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Pioneer Bible Translators	Pioneer Bible Translators	2022		eBible.org	https://ebible.org/details.php?id=ena			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-apali-bible/paperback/product-w4y549y.html	NULL	NULL	NULL	w4y549y	NULL	NULL	NULL	NULL
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	RTL	2	ARB	الكتاب المقدس باللغة العربية، فان دايك	Arabic Van Dyck Bible	العربية	Arabic	Middle East, North Africa	rtl	font-arabic.css	font-arabic	arb	ar	ar		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Eli Smith / Cornelius Van Alen Van Dyck / Syriac Mission	Eli Smith, Cornelius Van Alen Van Dyck, and Syriac Mission	1865		eBible.org	https://ebible.org/details.php?id=arb-vd			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-arabic-van-dyck-bible/paperback/product-5q4679.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-arabic-van-dyck-bible-new-testament/paperback/product-wg5ke8.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-arabic-van-dyck-bible/hardcover/product-j25wzg.html	NULL	5q4679	wg5ke8	j25wzg	NULL	NULL
Holy-Bible---Arabic---New-Arabic-Bible	RTL	1	ARN	كتاب الحياة	New Arabic Version	العربية	Arabic	Middle East, North Africa	rtl	font-arabic.css	font-arabic	arb	ar	ar		Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Biblica, Inc.	Biblica, Inc.	1988, 1997, 2012	Original work available for free at www.biblica.com and open.bible	eBible.org	https://ebible.org/details.php?id=arbnav			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-new-arabic-version/paperback/product-p4dg7v.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-new-arabic-version-new-testament/paperback/product-zn5792.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-new-arabic-version/hardcover/product-gznqqg.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-new-arabic-version-gospel-primer/paperback/product-rm86pqz.html	p4dg7v	zn5792	gznqqg	rm86pqz	NULL
Holy-Bible---Aramaic---Syriac-Peshitta	RTL		SPE	ܦܫܝܛܬܐ	Aramaic Peshitta New Testament	ܦܫܝܛܬܐ	Aramaic	Syria	rtl	font-aramaic.css	font-aramaic	syr				Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			John Richards	John Richards	1905		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=Peshitta			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aramaic-peshitta-new-testament/paperback/product-eqe4w5.html	NULL	NULL	NULL	eqe4w5	NULL	NULL	NULL	NULL
Holy-Bible---Arapaho---Arapaho-Luke			ARL	Hethadenee waunauyaunee vadan Luke Vanenāna	Arapaho Luke	Arapaho	Arapaho	USA (Wind River Reservation, WY, OK)				arp				Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Michael White Hawk / John Roberts	Michael White Hawk and John Roberts	1903		eBible.org	https://ebible.org/details.php?id=arp			1975924266	NULL	NULL	6YYQFNYBSTJ	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-arapaho-luke/paperback/product-1vgmp866.html	NULL	NULL	NULL	1vgmp866	NULL	NULL	NULL	NULL
Holy-Bible---Armenian---Armenian-Bible-Eastern			ARE	Արեւելահայերեն Աստվածաշունչ	Eastern Armenian Bible	Արեւելահայերեն	Armenian, Eastern	Armenia, Georgia, Iran, Nagorno-Karabakh, Turkey		font-armenian.css	font-armenian	hye	hy	hy		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Translator unknown / Contributor=Crosswire.org	Translator unknown			Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=ArmEastern			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-eastern-armenian-bible/paperback/product-1qkgpzye.html	NULL	NULL	NULL	1qkgpzye	NULL	NULL	NULL	NULL
Holy-Bible---Armenian---Armenian-Bible-Western			ARW	Արեւմտահայերեն Աստվածաշունչ	Western Armenian New Testament 1853	Արեւմտահայերեն	Armenian, Western	Armenia, Georgia, Iran, Nagorno-Karabakh, Turkey		font-armenian.css	font-armenian	hye	hy	hy		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Translator unknown / Contributor=Crosswire.org	Translator unknown	1853		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=ArmWestern			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-western-armenian-new-testament/paperback/product-1dgdvnyj.html	NULL	NULL	NULL	1dgdvnyj	NULL	NULL	NULL	NULL
